depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
0.00	1	1n	4.61	2.31	146.00	12.50	0.40			2.39	1.82	146.00	6.94	-2.00			24.10	4.33	130.00	31.57	9.93			8.24	0.64	49.00	10.35	7.20			2.86	1.65	115.00	5.76	-1.15			24.65	4.72	98.00	33.10	3.12			7.83	0.63	131.00	9.64	6.29			0.59	0.21	179.00	1.32	0.15			0.37	0.23	179.00	1.40	0.02			9.74	6.25	179.00	43.15	0.13			8.36	4.33	114.00	28.76	0.14			1.84	1.47	177.00	11.90	0.21			12.36	11.77	137.00	131.50	0.20			1.70	2.45	174.00	19.50	0.15																															25.55	8.52	178.00	63.70	12.99			0.94	0.28	168.00	2.81	0.45			7.92	0.62	171.00	9.64	6.29			12.05	6.88	177.00	46.13	0.93			24.63	4.37	189.00	33.10	9.93			2.45	1.81	194.00	6.94	-2.00		
0.00	2	1n	4.92	2.16	106.00	11.00	0.50			1.19	1.69	141.00	5.66	-2.12			23.14	4.11	129.00	32.81	5.80										1.33	1.73	139.00	5.50	-1.43			24.91	3.57	118.00	33.10	14.07			8.17	0.93	152.00	12.23	4.46			0.47	0.21	165.00	1.03	0.05			0.32	0.23	165.00	1.42	0.02			8.47	6.80	161.00	60.95	0.10			8.49	7.50	134.00	61.58	0.10			1.71	2.83	165.00	25.26	0.05			12.34	10.18	141.00	63.10	0.20			3.06	4.71	159.00	35.20	0.20																															25.55	9.43	162.00	97.00	12.95			0.91	0.26	162.00	2.54	0.53			8.18	0.92	156.00	12.23	4.46			10.29	7.87	165.00	70.33	0.10			23.99	4.37	179.00	33.10	5.80			1.40	1.63	178.00	5.66	-2.12		
0.00	3	1n	5.30	2.39	105.00	11.00	0.50			1.93	1.54	80.00	5.28	-0.87			21.28	6.06	74.00	32.03	2.00										1.89	1.49	106.00	5.33	-1.23			23.36	4.79	95.00	32.19	3.42			8.48	0.77	120.00	11.48	6.66			0.32	0.32	121.00	2.97	0.02	0.63	0.06	0.19	0.13	121.00	0.78	0.02	0.41	0.03	6.28	5.07	117.00	23.07	0.10			6.22	5.46	87.00	23.29	0.10			1.68	3.81	121.00	27.48	0.03	6.12	0.05	6.14	4.91	103.00	15.80	0.10			4.97	4.99	121.00	26.25	0.40	14.20	0.80																													24.48	10.75	119.00	84.60	10.20			1.26	4.05	120.00	44.79	0.35			8.48	0.77	120.00	11.48	6.66			7.93	6.63	121.00	39.50	0.10	18.09	0.17	22.46	5.48	121.00	32.03	2.00	29.73	14.29	1.88	1.48	121.00	5.28	-1.23	3.84	-0.28
0.00	4	1n	6.13	2.29	100.00	12.00	2.00			4.72	1.42	62.00	6.61	1.45			21.93	5.03	54.00	32.62	9.34										4.54	1.29	96.00	6.72	1.45			21.74	4.51	79.00	31.01	9.45			8.11	0.48	104.00	9.29	6.96	8.93	7.28	0.11	0.07	104.00	0.35	0.02	0.23	0.04	0.12	0.08	104.00	0.33	0.02	0.26	0.02	4.31	4.46	93.00	16.57	0.02			3.75	4.57	72.00	16.75	0.09			0.76	0.67	101.00	3.80	0.05			3.19	3.08	104.00	18.10	0.10	7.64	0.21	2.76	2.13	101.00	13.55	0.40																															21.84	6.55	104.00	42.40	11.10	34.89	14.09	0.60	0.19	104.00	1.18	0.33	0.97	0.37	8.11	0.48	104.00	9.29	6.96	8.93	7.28	4.73	4.81	101.00	19.14	0.10			22.16	4.58	104.00	32.62	9.34	30.12	13.83	4.63	1.25	104.00	6.72	1.45	6.40	1.93
0.00	5	1n	6.09	2.13	129.00	14.00	2.40			11.92	4.24	90.00	21.71	6.80			21.46	3.53	81.00	30.04	12.64			6.44	0.96	32.00	8.62	5.09			10.47	3.70	113.00	22.80	6.30			21.75	4.37	86.00	30.95	11.57			7.39	0.36	113.00	8.29	6.03			0.07	0.05	133.00	0.27	0.02	0.17	0.02	0.08	0.07	130.00	0.40	0.02			2.58	4.07	111.00	21.36	0.02			1.82	3.11	84.00	15.63	0.10			0.56	0.50	130.00	2.82	0.05			1.90	1.49	113.00	7.80	0.10			2.39	1.39	133.00	9.85	0.70	4.24	1.08																													21.29	8.24	130.00	67.90	10.45			0.51	0.20	130.00	2.00	0.28			7.14	0.68	133.00	8.29	5.09	7.91	5.76	2.65	3.99	130.00	24.07	0.10			21.72	3.98	133.00	30.95	11.57	28.82	14.58	10.91	3.86	133.00	21.71	6.30	19.86	7.20
0.00	6	1n	5.21	1.92	189.00	11.00	1.50			15.49	1.91	145.00	20.39	12.05			23.30	3.82	136.00	32.44	11.46			6.18	0.35	47.00	7.15	5.47			15.15	2.22	157.00	20.30	10.00			23.17	4.41	130.00	32.50	12.38			6.71	0.37	154.00	7.72	4.95			0.07	0.06	185.00	0.71	0.02			0.05	0.05	194.00	0.27	0.02	0.17	0.02	0.93	1.92	124.00	10.96	0.02			0.67	1.68	122.00	8.68	0.10			0.32	0.66	193.00	8.62	0.03			1.14	1.36	134.00	10.50	0.10			2.57	1.81	189.00	12.20	0.35																															19.03	4.98	179.00	41.42	11.50			0.55	0.28	180.00	2.95	0.03			6.59	0.44	192.00	7.72	4.95			0.93	1.87	193.00	11.66	0.10			22.82	3.92	192.00	32.44	11.46			15.24	2.09	193.00	20.39	10.00		
0.00	7	1n	5.58	2.41	211.00	13.00	1.00			18.68	1.83	184.00	24.23	14.94			23.57	3.61	180.00	31.36	10.95			5.78	0.36	72.00	6.38	4.86			18.37	2.11	177.00	25.40	13.92			23.26	3.10	128.00	29.20	13.52			6.06	0.32	155.00	7.51	4.93			0.06	0.04	216.00	0.21	0.02	0.14	0.02	0.05	0.07	213.00	0.98	0.02			1.21	3.68	135.00	36.70	0.02			0.47	1.43	129.00	9.69	0.09			0.39	0.59	216.00	5.26	0.02	1.12	0.05	1.44	1.88	136.00	13.30	0.10			2.18	1.38	216.00	8.00	0.40	4.86	0.65																													19.60	7.97	216.00	74.95	8.20	30.25	12.19	0.52	0.26	214.00	2.06	0.05			5.97	0.37	215.00	7.51	4.86			1.16	3.41	216.00	42.93	0.10	3.86	0.10	23.57	3.60	216.00	31.36	10.95	29.06	15.87	18.27	2.01	216.00	24.23	13.92	21.82	15.35
0.00	8	1n	5.20	2.04	209.00	10.50	0.30			19.65	1.70	169.00	24.57	16.30			22.95	2.76	163.00	29.21	13.85			5.73	0.36	60.00	6.60	4.83			19.73	1.91	178.00	24.45	15.56			22.68	3.13	138.00	28.47	3.66			5.99	0.38	163.00	7.27	4.84			0.08	0.12	214.00	1.44	0.02	0.18	0.02	0.05	0.08	214.00	0.86	0.01	0.16	0.02	0.78	3.04	144.00	35.03	0.02			0.65	3.23	131.00	35.89	0.10			0.31	0.37	209.00	4.03	0.02			2.58	8.51	145.00	99.40	0.10			2.71	1.80	214.00	9.90	0.30	6.45	0.80																													21.10	9.15	210.00	120.70	10.70			0.63	0.55	209.00	7.65	0.02			5.92	0.39	211.00	7.27	4.83			0.87	2.88	209.00	39.92	0.08			22.99	2.83	213.00	29.21	13.85			19.51	1.79	214.00	24.57	15.56	22.53	16.78
0.00	9	1n	6.52	2.38	102.00	13.00	2.00			16.90	0.90	61.00	18.77	14.36			23.42	3.47	55.00	31.56	14.33										16.80	1.49	95.00	20.82	12.93			23.75	3.94	79.00	32.28	14.41			6.01	0.38	104.00	6.96	4.70	6.63	5.49	0.09	0.05	104.00	0.35	0.02	0.17	0.03	0.06	0.05	104.00	0.29	0.02	0.19	0.02	0.65	1.39	66.00	7.47	0.02			0.47	1.28	71.00	7.71	0.07			0.38	0.29	100.00	1.39	0.02			1.49	1.47	103.00	9.45	0.10			3.33	2.15	104.00	8.85	0.55	7.65	0.86																													17.50	4.18	104.00	30.00	11.30	26.13	12.12	0.58	0.15	104.00	1.12	0.23	0.82	0.35	6.01	0.38	104.00	6.96	4.70	6.63	5.49	0.85	1.35	100.00	8.51	0.10			23.61	3.67	104.00	32.28	14.33	29.03	16.56	16.77	1.48	104.00	20.82	12.93	19.16	14.37
0.00	10	1n	6.09	2.13	92.00	12.00	2.00			13.26	1.30	64.00	16.19	10.47			23.68	4.28	54.00	32.01	12.31										12.97	1.33	94.00	16.16	10.35			23.84	4.26	82.00	33.06	13.72			6.23	0.42	105.00	7.12	4.93	6.81	5.49	0.12	0.07	105.00	0.41	0.02	0.25	0.03	0.11	0.13	105.00	0.78	0.02	0.32	0.02	1.33	2.54	88.00	10.65	0.02			1.32	2.52	69.00	10.92	0.07			0.53	0.58	99.00	3.75	0.05			2.73	2.56	105.00	13.60	0.15	6.54	0.30	3.87	2.20	105.00	13.25	1.05	7.68	1.61																													17.67	4.18	103.00	30.50	10.80			0.61	0.21	103.00	1.73	0.23			6.23	0.42	105.00	7.12	4.93	6.81	5.49	1.79	2.90	99.00	14.08	0.07			24.06	4.20	105.00	33.06	12.31	30.82	16.69	12.99	1.29	105.00	16.19	10.35	14.79	10.67
