depth	depth_interval	month	sea_basin	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	PH_LAB:mean	PH_LAB:std	PH_LAB:count	PH_LAB:max	PH_LAB:min	PH_LAB:95p	PH_LAB:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	oxygen_saturation:mean	oxygen_saturation:std	oxygen_saturation:count	oxygen_saturation:max	oxygen_saturation:min	oxygen_saturation:95p	oxygen_saturation:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
0.00	0_2.5	1	Bothnian Sea								1.92	1.05	58.00	3.82	-0.24			5.36	0.12	55.00	5.56	5.02																															0.31	0.10	58.00	0.53	0.16			0.05	0.02	57.00	0.18	0.02			3.84	0.48	60.00	4.94	2.86										0.14	0.07	54.00	0.35	0.06			19.66	4.18	58.00	28.31	11.10										10.73	0.97	26.00	12.50	9.10										7.89	0.15	56.00	8.10	7.37																	17.68	1.35	59.00	20.96	14.56			0.49	0.12	60.00	0.75	0.30																	3.99	0.50	53.00	5.27	2.97			5.38	0.15	59.00	5.80	5.02			1.97	1.06	60.00	3.76	-0.24		
0.00	0_2.5	2	Bothnian Sea	6.94	1.54	16.00	11.00	4.50			1.01	0.76	51.00	2.68	-0.26			5.29	0.19	51.00	5.54	4.63																															0.35	0.09	54.00	0.55	0.20			0.05	0.02	52.00	0.10	0.02			4.24	0.44	54.00	5.31	3.26										0.14	0.07	48.00	0.44	0.06			21.91	3.60	52.00	30.98	14.75										10.56	0.93	30.00	12.20	8.80										7.84	0.20	44.00	8.02	7.15																	18.24	0.87	53.00	20.60	16.32			0.54	0.11	54.00	0.76	0.33																	4.39	0.50	48.00	5.54	3.31			5.31	0.20	53.00	5.78	4.63			1.05	0.77	53.00	2.68	-0.26		
0.00	0_2.5	3	Bothnian Sea								0.53	0.67	22.00	2.01	-0.21			5.36	0.22	22.00	5.58	4.55																															0.28	0.06	27.00	0.38	0.14			0.07	0.02	24.00	0.12	0.05			4.10	0.66	27.00	5.23	1.95										0.18	0.17	24.00	0.86	0.06			19.18	2.61	26.00	23.90	14.10																								7.88	0.18	16.00	8.07	7.51																	19.12	2.00	29.00	22.92	16.39	22.63	16.79	0.51	0.13	29.00	1.01	0.28	0.64	0.35															4.22	0.68	24.00	5.35	2.18			5.42	0.24	27.00	5.75	4.55			0.50	0.64	26.00	2.01	-0.21		
0.00	0_2.5	4	Bothnian Sea	5.76	1.33	28.00	8.90	3.00			1.39	0.73	66.00	2.71	-0.22			5.34	0.18	64.00	5.63	4.89																															0.18	0.07	25.00	0.31	0.04			0.10	0.04	24.00	0.22	0.05			3.03	1.22	24.00	4.74	0.05										0.25	0.17	24.00	0.90	0.11			15.82	3.31	24.00	23.50	10.20										9.89	1.03	26.00	13.00	7.50										8.08	0.20	32.00	8.35	7.52																	16.86	1.47	64.00	21.48	12.99			0.42	0.09	65.00	0.73	0.25																	3.37	1.31	23.00	5.05	0.34			5.36	0.19	66.00	5.84	4.89			1.39	0.72	66.00	2.71	-0.22		
0.00	0_2.5	5	Bothnian Sea	6.00	0.98	60.00	8.00	3.00			4.82	1.93	136.00	11.07	1.40			5.43	0.29	124.00	5.94	4.25										5.92	2.95	25.00	11.07	0.91			5.53	0.24	64.00	5.94	4.57			9.72	0.37	66.00	10.79	8.68			0.05	0.03	88.00	0.18	0.02			0.04	0.03	85.00	0.13	0.02			0.25	0.46	86.00	2.91	0.05										0.34	0.14	62.00	0.95	0.07			9.04	3.69	90.00	18.00	0.90																								8.23	0.18	32.00	8.52	7.87																	16.66	2.33	84.00	32.84	13.50			0.40	0.09	84.00	0.70	0.25			9.72	0.37	72.00	10.79	8.68			112.87	6.55	69.00	136.28	102.28			0.63	0.50	59.00	3.14	0.05			5.43	0.28	138.00	5.94	4.25			4.77	1.96	137.00	11.07	0.91		
0.00	0_2.5	6	Bothnian Sea	5.96	0.88	41.00	8.00	4.50			8.11	1.99	83.00	12.44	4.53			5.18	0.28	58.00	5.89	4.31																															0.06	0.06	22.00	0.29	0.02			0.05	0.01	22.00	0.06	0.02			0.06	0.02	18.00	0.12	0.05										0.24	0.23	21.00	1.15	0.08			6.94	3.47	22.00	14.70	2.45										8.99	0.92	29.00	11.30	7.10										8.34	0.18	30.00	8.69	7.98																	16.79	2.13	62.00	24.40	13.34			0.35	0.12	63.00	0.90	0.11			8.76	0.61	18.00	9.85	7.74			108.72	4.55	18.00	117.33	99.97			0.33	0.23	21.00	1.27	0.15			5.19	0.31	67.00	5.85	4.13			8.08	1.93	90.00	12.44	4.53		
0.00	0_2.5	7	Bothnian Sea	5.72	1.05	22.00	7.75	4.00			14.68	1.99	47.00	20.85	10.82			5.03	0.22	42.00	5.64	4.61																																																																																8.78	0.70	25.00	10.20	7.50										8.23	0.21	20.00	8.71	7.77																	16.55	1.45	43.00	21.63	14.46			0.30	0.05	44.00	0.44	0.20																								5.04	0.24	45.00	5.64	4.61			14.68	1.99	47.00	20.85	10.82		
0.00	0_2.5	8	Bothnian Sea	5.62	0.90	46.00	7.50	3.30			15.96	1.70	69.00	20.28	12.99			4.94	0.43	64.00	5.69	3.58																															0.03	0.02	40.00	0.08	0.01			0.06	0.04	41.00	0.23	0.02			0.08	0.04	41.00	0.25	0.05										0.19	0.11	42.00	0.55	0.06			8.53	5.16	40.00	26.60	0.30																								8.15	0.23	41.00	8.49	7.66																	17.34	2.14	71.00	25.06	13.10			0.33	0.09	72.00	0.56	0.12			6.85	0.34	23.00	7.45	5.90			100.15	5.00	23.00	111.17	85.29			0.32	0.16	39.00	0.85	0.05			4.97	0.42	80.00	5.76	3.58			15.91	1.61	80.00	20.28	12.99		
0.00	0_2.5	9	Bothnian Sea	5.94	0.74	51.00	7.00	4.00			12.52	1.63	172.00	18.65	7.90			5.12	0.31	168.00	5.72	4.22			7.01	0.40	125.00	7.73	5.53			14.37	2.25	65.00	17.36	8.73			5.21	0.33	64.00	5.74	4.25			7.14	0.26	61.00	7.85	6.79			0.04	0.01	54.00	0.08	0.01			0.05	0.02	56.00	0.10	0.02			0.12	0.11	52.00	0.74	0.05										0.19	0.10	54.00	0.72	0.08			8.07	2.24	56.00	13.70	3.20										8.89	0.72	16.00	10.80	8.10										8.17	0.14	23.00	8.42	7.96																	17.40	1.70	84.00	26.80	14.84			0.31	0.06	83.00	0.51	0.18			7.04	0.37	158.00	7.85	5.53			97.09	5.11	155.00	105.75	73.97			0.35	0.19	53.00	1.51	0.18			5.15	0.31	208.00	5.73	4.22			13.15	2.01	211.00	18.65	7.90		
0.00	0_2.5	10	Bothnian Sea	6.55	1.32	22.00	9.00	4.00			9.66	1.70	113.00	13.67	5.49			5.17	0.20	108.00	5.64	4.53			7.26	0.34	71.00	7.78	6.15																	7.59	0.22	25.00	8.08	7.02			0.05	0.03	25.00	0.13	0.01			0.09	0.06	25.00	0.20	0.03			0.41	0.47	23.00	1.77	0.05										0.19	0.09	28.00	0.49	0.09			10.26	2.42	24.00	17.00	6.20																								7.86	0.25	25.00	8.38	7.28																	16.11	1.16	45.00	19.70	14.06			0.32	0.07	45.00	0.51	0.18			7.37	0.38	73.00	8.08	6.15			95.75	3.40	73.00	101.31	79.84			0.66	0.52	25.00	2.00	0.19			5.19	0.21	113.00	5.72	4.53			9.66	1.70	113.00	13.67	5.49		
