depth	month	area_tag	SECCHI:mean	SECCHI:std	SECCHI:count	SECCHI:max	SECCHI:min	SECCHI:95p	SECCHI:5p	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:count	TEMP_CTD:max	TEMP_CTD:min	TEMP_CTD:95p	TEMP_CTD:5p	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:count	SALT_CTD:max	SALT_CTD:min	SALT_CTD:95p	SALT_CTD:5p	DOXY_CTD:mean	DOXY_CTD:std	DOXY_CTD:count	DOXY_CTD:max	DOXY_CTD:min	DOXY_CTD:95p	DOXY_CTD:5p	TEMP_BTL:mean	TEMP_BTL:std	TEMP_BTL:count	TEMP_BTL:max	TEMP_BTL:min	TEMP_BTL:95p	TEMP_BTL:5p	SALT_BTL:mean	SALT_BTL:std	SALT_BTL:count	SALT_BTL:max	SALT_BTL:min	SALT_BTL:95p	SALT_BTL:5p	DOXY_BTL:mean	DOXY_BTL:std	DOXY_BTL:count	DOXY_BTL:max	DOXY_BTL:min	DOXY_BTL:95p	DOXY_BTL:5p	PHOS:mean	PHOS:std	PHOS:count	PHOS:max	PHOS:min	PHOS:95p	PHOS:5p	NTRI:mean	NTRI:std	NTRI:count	NTRI:max	NTRI:min	NTRI:95p	NTRI:5p	NTRA:mean	NTRA:std	NTRA:count	NTRA:max	NTRA:min	NTRA:95p	NTRA:5p	NTRZ:mean	NTRZ:std	NTRZ:count	NTRZ:max	NTRZ:min	NTRZ:95p	NTRZ:5p	AMON:mean	AMON:std	AMON:count	AMON:max	AMON:min	AMON:95p	AMON:5p	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:count	SIO3-SI:max	SIO3-SI:min	SIO3-SI:95p	SIO3-SI:5p	CPHL:mean	CPHL:std	CPHL:count	CPHL:max	CPHL:min	CPHL:95p	CPHL:5p	HUMUS:mean	HUMUS:std	HUMUS:count	HUMUS:max	HUMUS:min	HUMUS:95p	HUMUS:5p	H2S:mean	H2S:std	H2S:count	H2S:max	H2S:min	H2S:95p	H2S:5p	PH:mean	PH:std	PH:count	PH:max	PH:min	PH:95p	PH:5p	ALKY:mean	ALKY:std	ALKY:count	ALKY:max	ALKY:min	ALKY:95p	ALKY:5p	NTOT:mean	NTOT:std	NTOT:count	NTOT:max	NTOT:min	NTOT:95p	NTOT:5p	PTOT:mean	PTOT:std	PTOT:count	PTOT:max	PTOT:min	PTOT:95p	PTOT:5p	doxy:mean	doxy:std	doxy:count	doxy:max	doxy:min	doxy:95p	doxy:5p	din:mean	din:std	din:count	din:max	din:min	din:95p	din:5p	salt:mean	salt:std	salt:count	salt:max	salt:min	salt:95p	salt:5p	temp:mean	temp:std	temp:count	temp:max	temp:min	temp:95p	temp:5p
0.00	1	Northern Baltic Proper								4.33	1.04	26.00	5.98	2.40			7.00	0.20	25.00	7.35	6.63										4.21	0.85	37.00	5.89	2.41			7.03	0.20	35.00	7.38	6.63			8.38	0.22	41.00	8.96	8.03			0.64	0.11	42.00	0.85	0.30			0.08	0.04	42.00	0.20	0.02			4.48	1.08	42.00	6.87	2.73			4.00	0.83	24.00	6.46	2.93			0.17	0.08	34.00	0.42	0.05			13.49	2.78	42.00	18.70	7.50			0.33	0.22	20.00	1.00	0.10																															22.69	3.00	28.00	33.10	18.90			0.88	0.17	28.00	1.13	0.46			8.38	0.22	41.00	8.96	8.03			4.38	0.90	34.00	6.80	3.12			7.05	0.20	43.00	7.38	6.63	7.32	6.78	4.30	0.89	43.00	5.98	2.40	5.83	2.56
0.00	2	Northern Baltic Proper								2.52	1.10	63.00	5.09	-0.18			6.92	0.21	58.00	7.44	6.38			8.71	0.35	31.00	9.40	7.60			2.33	1.01	58.00	4.02	-0.14			6.93	0.21	46.00	7.41	6.37			8.85	0.30	63.00	9.70	8.19			0.69	0.12	66.00	1.02	0.45			0.09	0.04	66.00	0.22	0.04			4.29	0.71	66.00	6.00	3.22			4.38	0.71	66.00	6.22	3.27			0.19	0.07	65.00	0.45	0.05			14.15	2.92	66.00	21.60	7.30			0.35	0.13	20.00	0.60	0.10																															22.15	1.99	64.00	27.70	18.20			0.93	0.16	66.00	1.47	0.60			8.85	0.30	63.00	9.70	8.19			4.49	0.72	65.00	6.26	3.28			6.93	0.21	66.00	7.44	6.38			2.46	1.13	67.00	5.09	-0.18		
0.00	3	Northern Baltic Proper								2.09	0.93	48.00	4.15	-0.27			6.88	0.21	48.00	7.26	6.36			9.15	0.62	17.00	10.61	7.89			1.77	1.17	28.00	3.67	-0.18			6.91	0.20	31.00	7.27	6.51			9.23	0.38	38.00	10.09	8.64			0.60	0.11	45.00	0.76	0.22			0.11	0.03	30.00	0.18	0.07			4.35	0.69	30.00	5.98	3.22			4.42	0.78	42.00	6.10	1.80			0.19	0.39	41.00	2.57	0.05			13.34	2.34	43.00	19.41	9.00			0.84	0.61	28.00	3.23	0.32																															22.51	2.18	43.00	28.40	19.85			0.87	0.13	42.00	1.18	0.51			9.30	0.57	39.00	11.89	8.64			4.56	0.89	42.00	7.06	1.85			6.88	0.21	54.00	7.26	6.36	7.18	6.53	1.90	1.08	53.00	4.15	-0.27		
0.00	4	Northern Baltic Proper								2.85	0.96	28.00	4.31	0.95			6.77	0.28	26.00	7.19	6.04																								9.76	0.61	22.00	11.14	8.64			0.37	0.15	29.00	0.65	0.02																	1.00	1.37	29.00	4.40	0.01			0.13	0.10	27.00	0.48	0.04			11.13	3.26	28.00	18.41	6.10			5.34	2.75	28.00	13.73	0.86																															21.68	2.49	29.00	30.90	19.00			0.87	0.14	29.00	1.16	0.57			9.84	0.69	23.00	11.41	8.64			1.18	1.40	27.00	4.51	0.06			6.78	0.26	30.00	7.19	6.04			2.82	0.94	30.00	4.31	0.95		
0.00	5	Northern Baltic Proper	7.78	1.28	18.00	10.00	4.50			6.42	1.91	40.00	11.63	2.81			6.60	0.32	37.00	7.12	5.72																	6.65	0.32	16.00	7.09	5.88			9.53	0.45	31.00	10.37	8.60			0.14	0.09	34.00	0.44	0.02			0.02	0.01	17.00	0.06	0.02										0.04	0.04	27.00	0.12	0.01			0.16	0.15	32.00	0.73	0.04			8.11	3.22	34.00	16.54	2.60			3.94	4.87	28.00	21.40	1.00																															20.68	3.37	31.00	32.95	12.20			0.71	0.18	30.00	1.38	0.43			9.53	0.45	31.00	10.37	8.60			0.20	0.19	32.00	0.83	0.01			6.61	0.31	42.00	7.12	5.72			6.29	1.96	42.00	11.63	2.81		
0.00	6	Northern Baltic Proper	6.17	1.29	20.00	8.80	4.00			10.66	1.77	32.00	14.29	7.53			6.43	0.26	32.00	6.88	5.78																								8.45	0.37	27.00	9.38	7.60			0.08	0.05	34.00	0.19	0.02																	0.05	0.04	34.00	0.10	0.01			0.10	0.07	28.00	0.28	0.04			9.05	2.73	32.00	15.80	4.70			2.26	1.05	29.00	5.80	0.63																															21.39	3.23	32.00	30.60	17.05			0.58	0.14	32.00	1.02	0.40			8.44	0.36	28.00	9.38	7.60			0.14	0.09	28.00	0.39	0.06			6.44	0.27	36.00	6.92	5.78			10.57	1.72	37.00	14.29	7.53		
0.00	7	Northern Baltic Proper	4.95	0.79	16.00	6.50	4.00			16.80	1.53	32.00	20.75	14.56			6.27	0.35	31.00	6.97	5.40																								7.35	0.37	21.00	7.99	6.69			0.04	0.04	28.00	0.17	0.02																	0.05	0.05	29.00	0.23	0.01			0.10	0.06	27.00	0.23	0.04			8.84	3.15	27.00	15.25	3.35			3.43	1.18	27.00	5.38	0.81																															23.97	4.08	27.00	36.42	17.23			0.55	0.15	27.00	1.09	0.30			7.34	0.36	22.00	7.99	6.69			0.13	0.08	27.00	0.34	0.06			6.28	0.34	35.00	6.97	5.40	6.73	5.76	16.64	1.63	34.00	20.75	13.87		
0.00	8	Northern Baltic Proper								18.12	1.51	29.00	22.18	14.91			6.21	0.27	29.00	6.74	5.75																	6.26	0.25	16.00	6.60	5.81			6.75	0.29	26.00	7.59	6.17			0.04	0.04	32.00	0.15	0.02																	0.04	0.04	26.00	0.10	0.01			0.14	0.13	28.00	0.45	0.04			7.67	2.92	30.00	16.15	3.90			2.67	0.78	25.00	4.40	1.45																															23.00	1.95	27.00	29.20	19.72			0.45	0.04	27.00	0.55	0.39			6.76	0.29	27.00	7.59	6.17			0.18	0.17	27.00	0.55	0.02			6.24	0.26	36.00	6.74	5.75	6.60	5.81	17.75	1.63	36.00	22.18	14.91	20.02	15.22
0.00	9	Northern Baltic Proper								14.30	1.55	37.00	18.17	11.61			6.35	0.27	37.00	6.91	5.55			6.79	0.38	17.00	7.46	6.06																	7.03	0.37	18.00	7.78	6.40			0.07	0.05	24.00	0.20	0.02																	0.05	0.04	23.00	0.14	0.01			0.13	0.10	23.00	0.46	0.05			8.81	2.82	23.00	14.00	4.45			2.74	0.76	24.00	4.70	1.36																															21.29	2.33	24.00	29.70	18.40			0.46	0.13	24.00	0.86	0.23			7.04	0.37	19.00	7.78	6.40			0.17	0.13	23.00	0.56	0.07			6.35	0.26	39.00	6.91	5.55	6.69	5.98	14.41	1.61	39.00	18.17	11.61	16.95	12.15
0.00	10	Northern Baltic Proper								12.19	1.80	118.00	15.99	8.11			6.45	0.30	116.00	7.13	5.71			6.79	0.32	99.00	7.83	6.10			11.43	2.08	19.00	15.91	8.10			6.59	0.24	20.00	7.16	6.28			7.11	0.35	41.00	7.81	6.50			0.16	0.10	21.00	0.41	0.02			0.09	0.07	19.00	0.23	0.02										0.45	0.40	16.00	1.28	0.07			0.43	0.56	19.00	2.62	0.06			8.24	2.91	21.00	13.20	1.20																																						21.91	2.57	20.00	29.50	17.65			0.57	0.17	20.00	0.94	0.29			7.11	0.35	41.00	7.81	6.50			0.83	0.80	19.00	3.46	0.10			6.46	0.30	122.00	7.16	5.71			12.13	1.80	122.00	15.99	8.11		
